weight,value
831,19073
4919,16418
1485,16915
7593,11160
11,13019
9188,13535
8781,13136
4661,12579
3548,2747
3972,5961
2860,16255
476,15574
3165,7408
7008,14064
3414,14990
3009,15484
1297,6600
6089,2835
4181,6726
4541,11882
3228,17655
1268,17957
595,11214
8015,9755
7876,8253
1945,7316
4397,11456
8335,16907
6019,17703
6300,1646
8490,14719
4945,12474
7222,11234
114,18258
8848,12932
9013,15527
2473,19315
5342,11476
7545,6447
5220,1424
5920,5238
1673,5064
4754,19388
6293,13204
9073,16875
3916,16025
3887,1316
9086,341
4657,10920
5934,18037
6192,5966
554,2440
5261,10228
6097,13455
9219,11329
9950,18310
5675,6961
7774,15391
6880,5398
8202,14954
6485,9538
7306,1230
4522,2120
6356,19343
687,18067
5230,9471
5700,4810
923,4055
2347,1367
547,7267
3086,3853
5434,8989
3523,3566
8404,337
1624,6943
7619,13815
451,16348
9533,9943
1938,2631
6742,11148
3565,6952
6952,11870
9183,16184
9968,18913
6824,19620
6345,8767
6930,12908
289,14487
4802,7266
3550,9253
6813,1843
7816,11731
8353,2229
9421,9291
2180,8593
8132,13106
1462,5362
2829,5277
403,8965
876,9193
3773,10493
8159,3355
5400,3675
2305,6246
7272,12412
715,15903
2154,12189
8413,4600
7801,12811
7608,17749
9039,17730
1195,917
6959,8062
2678,18899
1162,892
345,5321
8776,2863
6442,16038
550,17553
3132,14473
3021,19040
9930,17082
3460,7357
3483,1123
9429,9704
3124,17729
9483,12162
6147,6971
2365,14187
4248,18236
7935,18615
2250,6598
5723,17558
2236,4768
2220,1716
4969,18882
111,13948
8449,7323
459,1073
1496,2374
9655,18651
9903,19323
3263,10302
2076,14490
3507,16448
4182,17809
6373,4595
1367,11446
2355,19786
9565,15404
5383,4690
3848,15586
1697,6726
6193,18434
216,7653
443,2248
775,19228
2174,15540
1070,3048
6533,19692
8607,10862
996,6221
7888,3519
8814,7175
6445,9621
5601,14778
4562,12720
9238,15684
5929,12799
5403,16696
709,9767
7347,12762
7639,6029
8956,14832
3302,14644
8584,6152
4747,12863
8702,9898
3536,11169
8738,7628
1211,2582
1853,15767
5060,14156
2693,4390
2054,190
6297,17319
10000,9733
9816,14766
716,11858
6251,7756
1197,16030
8703,11226
7899,19574
3803,17647
3460,13715
1981,3619
4324,2586
6740,2718
8454,11389
4489,9573
4350,10600
8,7685
7587,4481
2551,2288
5011,236
4717,5502
2804,3532
7937,1524
7673,8828
7248,5194
7004,6482
8440,12939
8848,16052
7546,3518
8527,1187
