weight,value
47,123
12,56
32,154
17,55
42,188
18,11
87,186
61,142
50,7
93,182
71,30
17,101
64,72
32,162
78,28
6,76
35,184
74,92
78,142
4,174
77,172
13,83
64,95
91,86
72,192
78,168
35,194
41,6
32,7
18,47
40,34
80,191
11,105
40,106
60,111
3,45
33,54
81,102
51,159
3,104
63,77
62,28
60,89
18,6
75,27
9,5
17,29
12,27
81,162
96,73
25,177
19,146
46,176
59,179
78,123
61,86
67,199
2,68
48,157
12,120
2,155
66,56
91,191
10,113
11,111
18,127
60,68
81,22
63,87
88,50
33,133
14,100
95,128
91,16
31,95
40,139
44,101
100,66
26,116
73,115
44,139
87,26
10,71
21,156
96,40
17,88
61,81
44,9
40,170
5,149
27,135
28,44
68,157
3,109
58,70
24,139
43,169
96,99
75,97
16,80
