weight,value
548,126
195,673
850,1737
318,1549
803,576
417,430
729,555
76,799
143,455
353,1780
595,519
724,1598
602,1674
123,1751
447,1038
74,1972
599,917
811,340
735,764
167,1851
352,1511
913,1212
108,1346
973,899
673,702
972,1196
791,345
574,703
175,871
44,1517
135,692
678,801
422,195
683,143
721,302
234,1248
39,790
950,1908
29,1804
156,1427
512,1196
83,534
198,943
371,281
424,134
5,1710
872,558
32,397
945,1069
760,927
344,1693
642,912
866,761
546,153
840,342
445,1331
388,1432
584,8
223,1278
70,1397
796,1780
604,1
449,1862
326,201
700,1837
21,1566
851,1139
994,142
168,1638
236,1018
16,1415
767,1972
179,1264
98,866
581,1978
633,131
991,1318
419,780
408,339
906,1377
372,1582
653,1667
453,1050
49,297
887,1286
652,298
910,1779
163,779
65,788
502,1982
145,888
80,1533
980,1675
299,728
48,220
618,1422
594,1091
990,373
712,1501
961,795
11,1249
947,1100
215,818
469,486
28,526
762,334
508,1962
619,584
860,661
682,1640
470,1352
325,597
340,526
200,188
86,809
502,844
720,1928
729,806
965,110
606,1539
423,278
502,353
79,1670
768,1407
82,1030
408,754
552,979
298,1652
112,1300
352,538
997,855
159,499
517,296
176,568
920,1059
970,1491
512,356
285,1544
644,1818
294,223
95,1026
11,736
510,263
223,1304
237,341
50,1569
204,1807
159,1958
105,1690
211,805
540,1167
182,1541
104,1655
605,1722
483,1395
762,1116
333,1352
790,333
455,929
628,1057
605,1106
15,1035
888,1205
486,301
967,1571
572,921
726,156
308,857
901,1542
574,1409
869,537
868,779
768,1706
851,1883
366,1376
520,707
909,338
926,98
369,1195
810,1065
29,1036
788,505
418,977
440,1791
744,791
997,431
115,638
628,615
561,533
294,403
604,1558
157,1209
941,1702
985,1823
418,1859
751,1474
287,1075
812,215
145,953
941,1651
815,465
511,1248
488,1631
784,208
975,539
755,1535
262,134
177,1471
660,598
785,1618
451,1577
792,1593
54,1611
946,1188
894,1435
633,1065
46,1242
907,1412
219,1233
884,1334
801,1724
112,653
352,654
866,344
44,1138
984,1362
